login,password,firstName,lastName,address1,address2,creditCard,expDate
jojo,bean,Jojo,Bean,qwerty,asdf/asdf/asdf,12345,123
dwarf,gnom,Dwarf,Dwarfgone,UnderVulcan,Dwarfgone/UnderVulcan/Dwarf,Dworf,never
elf,woods,Elf,Alfheim,Ashenvale Forest,Ashenvale Forest/World tree,Blizzard,overdue
Gordon,Freeman,Gordon,Freeman,Black,Messa,30,30
jojo1,jostar,Jonatan,Jostar,Jostar mansion,Liverpool,Overdrive,never
dio,brando,Dio,Brando,Jostar mansion,Liverpool,Stoune,Mask
ultran,vptrd,Eldrad,Ultran,artificial world,artificial world,1212,321
bigboom,degroolrum,Tavish,Finengan DeGrut,Allapool,Allapool/Scotland,4214,911
kein,kein,Kein,Kein,Nod,Saraevo,Kein,Live
votv,1111,aliens,metior,Some,Secret,1111,1111
